"Track By","Track By"
"Order ID","Order ID"
"Email","Email"
"Mobile Number","Mobile Number"
"Enter Value","Enter Value"
"Track Order","Track Order"
"Order Information","Order Information"
"Orders Information","Orders Information"
"Order #","Order #"
"Order Date","Order Date"
"Order Status","Order Status"
"Total","Total"
"Date","Date"
"Status","Status"
"Order tracking is currently disabled.","Order tracking is currently disabled."
"Please enter a valid tracking value.","Please enter a valid tracking value."
"Order ID tracking is not allowed.","Order ID tracking is not allowed."
"No order found with this ID.","No order found with this ID."
"Email tracking is not allowed.","Email tracking is not allowed."
"No orders found with this email.","No orders found with this email."
"Mobile number tracking is not allowed.","Mobile number tracking is not allowed."
"No orders found with this mobile number.","No orders found with this mobile number."
"Invalid tracking type.","Invalid tracking type."
"Error loading tracking block.","Error loading tracking block."
"MagoArab","MagoArab"
"Order Tracking","Order Tracking"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Page Title","Page Title"
"Page Description","Page Description"
"Tracking Options","Tracking Options"
"Allow Order ID Tracking","Allow Order ID Tracking"
"Allow Email Tracking","Allow Email Tracking"
"Allow Mobile Number Tracking","Allow Mobile Number Tracking"
"Too many tracking attempts. Please try again later.","Too many tracking attempts. Please try again later."
"Invalid CAPTCHA code. Please try again.","Invalid CAPTCHA code. Please try again."
"CAPTCHA verification required. Please solve the CAPTCHA.","CAPTCHA verification required. Please solve the CAPTCHA."
"Enter CAPTCHA Code","Enter CAPTCHA Code"
"Enter code","Enter code"
"Enable CAPTCHA after failed attempts","Enable CAPTCHA after failed attempts"
"Failed attempts before CAPTCHA","Failed attempts before CAPTCHA"
"Maximum attempts per 15 minutes","Maximum attempts per 15 minutes"
"Default is 5 attempts","Default is 5 attempts"
"Lockout duration (minutes)","Lockout duration (minutes)"
"5 minutes","5 minutes"
"10 minutes","10 minutes"
"15 minutes","15 minutes"
"30 minutes","30 minutes"
"1 hour","1 hour"
"2 hours","2 hours"
"Enable Mobile Number Validation","Enable Mobile Number Validation"
"Minimum Mobile Number Length","Minimum Mobile Number Length"
"Default is 10 digits","Default is 10 digits"
"Maximum Mobile Number Length","Maximum Mobile Number Length"
"Default is 15 digits","Default is 15 digits"
"Allowed Mobile Number Formats","Allowed Mobile Number Formats"
"Digits Only (1234567890)","Digits Only (1234567890)"
"International Format (+1234567890)","International Format (+1234567890)"
"Local Format (123-456-7890)","Local Format (123-456-7890)"
"With Spaces (123 456 7890)","With Spaces (123 456 7890)"
"With Brackets ((123) 456-7890)","With Brackets ((123) 456-7890)"
"Mobile number must be at least %1 digits.","Mobile number must be at least %1 digits."
"Mobile number cannot exceed %1 digits.","Mobile number cannot exceed %1 digits."
"Mobile number format is not valid. Please use one of the allowed formats.","Mobile number format is not valid. Please use one of the allowed formats."
